Order_ID,Agent_Age,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Agent_Rating
agoo012263585,32,18.563934,73.915367,18.693935,74.045367,2022-04-02,1900-01-01 22:35:00,1900-01-01 22:45:00,Cloudy,low,scooter ,Metropolitian ,150,Sports,4.6
ezif478391605,33,18.55144,73.804855,18.62144,73.874855,2022-03-08,1900-01-01 18:55:00,1900-01-01 19:10:00,Sunny,medium,motorcycle ,Metropolitian ,110,Jewelry,4.9
tixw400453550,20,18.593481,73.785901,18.633481,73.825901,2022-04-03,1900-01-01 14:15:00,1900-01-01 14:25:00,Windy,high,scooter ,Urban ,50,Toys,4.7
mrfx777445506,20,21.173343,72.792731,21.183343,72.802731,2022-03-30,1900-01-01 11:00:00,1900-01-01 11:10:00,Sandstorms,low,scooter ,Metropolitian ,95,Kitchen,4.8
czjt755903822,35,17.451976,78.385883,17.471976,78.405883,2022-04-01,1900-01-01 09:45:00,1900-01-01 09:55:00,Sunny,low,scooter ,Urban ,55,Clothing,5.0
zqtj827550147,26,12.972532,77.608179,12.992532,77.628179,2022-03-28,1900-01-01 08:40:00,1900-01-01 08:55:00,Stormy,low,scooter ,Metropolitian ,55,Kitchen,4.9
luka250567007,22,12.972532,77.608179,13.042532,77.678179,2022-03-18,1900-01-01 23:00:00,1900-01-01 23:10:00,Fog,low,motorcycle ,Metropolitian ,140,Books,4.8
zkat983341391,35,13.064181,80.236442,13.134181,80.306442,2022-03-14,1900-01-01 17:25:00,1900-01-01 17:30:00,Cloudy,medium,motorcycle ,Metropolitian ,33,Grocery,4.3
ydhu273019158,37,21.149569,72.772697,21.239569,72.862697,2022-04-04,1900-01-01 19:45:00,1900-01-01 19:50:00,Sandstorms,jam,motorcycle ,Metropolitian ,260,Clothing,4.7
rpuq263118672,28,19.091458,72.827808,19.201458,72.937808,2022-03-08,1900-01-01 19:10:00,1900-01-01 19:25:00,Stormy,jam,scooter ,Metropolitian ,110,Cosmetics,4.6
nvck471535045,37,22.539129,88.365507,22.559129,88.385507,2022-02-13,1900-01-01 10:55:00,1900-01-01 11:00:00,Fog,low,scooter ,Urban ,16,Grocery,4.9
rxgx102974679,23,19.221315,72.862381,19.281315,72.922381,2022-03-24,1900-01-01 21:40:00,1900-01-01 21:45:00,Sunny,jam,van,Metropolitian ,55,Apparel,4.9
ikas794013321,27,12.970324,77.645748,13.030324,77.705748,2022-03-19,1900-01-01 19:00:00,1900-01-01 19:15:00,Windy,medium,scooter ,Metropolitian ,125,Snacks,4.9
dsyl658069912,37,13.064181,80.236442,13.104181,80.276442,2022-03-09,1900-01-01 16:45:00,1900-01-01 16:55:00,Cloudy,medium,motorcycle ,Urban ,130,Jewelry,4.8
wzoc344425774,33,21.175975,72.795503,21.185975,72.805503,2022-03-19,1900-01-01 11:30:00,1900-01-01 11:40:00,Sunny,high,scooter ,Metropolitian ,90,Shoes,5.0
dwnh519656346,31,23.369746,85.33982,23.409746,85.37982,2022-04-03,1900-01-01 15:10:00,1900-01-01 15:15:00,Fog,medium,motorcycle ,Metropolitian ,80,Books,4.9
yakw330215137,31,12.914264,77.6784,13.024264,77.7884,2022-03-25,1900-01-01 22:45:00,1900-01-01 22:55:00,Stormy,low,scooter ,Metropolitian ,115,Cosmetics,4.8
dcdm719150402,25,0.0,0.0,0.03,0.03,2022-02-13,1900-01-01 22:10:00,1900-01-01 22:25:00,Cloudy,low,motorcycle ,Metropolitian ,75,Home,5.0
fris321432357,28,11.003681,76.975525,11.083681,77.055525,2022-04-04,1900-01-01 20:45:00,1900-01-01 20:55:00,Sandstorms,jam,motorcycle ,Metropolitian ,180,Kitchen,4.8
mxuw713526914,31,21.173343,72.792731,21.233343,72.852731,2022-03-26,1900-01-01 22:50:00,1900-01-01 23:05:00,Cloudy,low,motorcycle ,Metropolitian ,80,Clothing,4.7
carl449634661,24,10.96185,76.971082,11.05185,77.061082,2022-03-10,1900-01-01 17:55:00,1900-01-01 18:00:00,Sunny,medium,motorcycle ,Urban ,95,Snacks,4.7
msnw786727644,39,27.165108,78.015053,27.255108,78.105053,2022-02-14,1900-01-01 22:45:00,1900-01-01 23:00:00,Sunny,low,motorcycle ,Metropolitian ,135,Jewelry,4.6
bbow373480117,39,0.0,0.0,0.08,0.08,2022-03-02,1900-01-01 20:35:00,1900-01-01 20:50:00,Fog,jam,scooter ,Semi-Urban ,245,Apparel,4.2
vizd072469706,32,26.88842,75.800689,26.89842,75.810689,2022-03-26,1900-01-01 09:25:00,1900-01-01 09:40:00,Windy,low,scooter ,Other,100,Shoes,4.5
etss702593505,36,0.0,0.0,0.06,0.06,2022-03-13,1900-01-01 20:15:00,1900-01-01 20:20:00,Cloudy,jam,motorcycle ,Metropolitian ,150,Sports,4.7
rxxx129114996,25,26.913987,75.752891,26.993987,75.832891,2022-03-29,1900-01-01 22:25:00,1900-01-01 22:35:00,Sandstorms,low,scooter ,Urban ,90,Cosmetics,4.8
bull762076829,33,12.3085,76.665808,12.3385,76.695808,2022-03-30,1900-01-01 21:55:00,1900-01-01 22:00:00,Sunny,jam,scooter ,Metropolitian ,110,Books,4.9
fpkv432118410,30,21.183434,72.814492,21.253434,72.884492,2022-03-12,1900-01-01 22:40:00,1900-01-01 22:55:00,Cloudy,low,scooter ,Metropolitian ,170,Shoes,4.4
udpq945815554,33,19.254567,72.848923,19.364567,72.958923,2022-03-31,1900-01-01 23:50:00,1900-01-01 23:55:00,Sandstorms,low,motorcycle ,Urban ,120,Jewelry,5.0
qeqp930384577,36,18.55144,73.804855,18.59144,73.844855,2022-03-17,1900-01-01 15:25:00,1900-01-01 15:40:00,Fog,medium,scooter ,Metropolitian ,85,Pet Supplies,4.9
cwvq091479872,21,25.449659,81.839744,25.469659,81.859744,2022-02-15,1900-01-01 10:20:00,1900-01-01 10:30:00,Sandstorms,low,van,Metropolitian ,70,Shoes,4.8
ivtf765857546,39,30.372202,78.077151,30.422202,78.127151,2022-02-15,1900-01-01 20:55:00,1900-01-01 21:00:00,Stormy,jam,motorcycle ,Metropolitian ,150,Skincare,4.9
emlt327861941,23,0.0,0.0,0.02,0.02,2022-03-07,1900-01-01 10:40:00,1900-01-01 10:50:00,Stormy,low,scooter ,Metropolitian ,15,Grocery,4.8
rufz727804632,35,0.0,0.0,0.04,0.04,2022-03-28,1900-01-01 15:55:00,1900-01-01 16:05:00,Fog,medium,scooter ,Urban ,80,Apparel,4.8
gkrb550339468,39,12.972793,80.249982,13.062793,80.339982,2022-03-16,1900-01-01 20:10:00,1900-01-01 20:15:00,Cloudy,jam,scooter ,Metropolitian ,180,Home,4.6
tsec016509855,22,21.157735,72.768778,21.197735,72.808778,2022-03-17,1900-01-01 12:10:00,1900-01-01 12:15:00,Sunny,high,scooter ,Urban ,90,Sports,4.7
xczs106918282,32,21.186438,72.794115,21.226438,72.834115,2022-03-15,1900-01-01 15:30:00,1900-01-01 15:45:00,Fog,medium,scooter ,Metropolitian ,85,Outdoors,4.6
lgee738117860,24,0.0,0.0,0.08,0.08,2022-03-25,1900-01-01 22:10:00,1900-01-01 22:15:00,Sandstorms,low,motorcycle ,Urban ,75,Apparel,4.8
nxfs257449148,29,0.0,0.0,0.02,0.02,2022-03-09,1900-01-01 10:35:00,1900-01-01 10:45:00,Fog,low,motorcycle ,Metropolitian ,85,Books,4.7
wycd588946822,26,17.431477,78.40035,17.491477,78.46035,2022-03-05,1900-01-01 23:50:00,1900-01-01 00:05:00,Fog,low,motorcycle ,Metropolitian ,50,Shoes,4.7
bhdi726355812,20,0.0,0.0,0.05,0.05,2022-02-11,1900-01-01 21:10:00,1900-01-01 21:25:00,Fog,jam,motorcycle ,Metropolitian ,135,Sports,4.5
wnbv620439671,35,13.064181,80.236442,13.154181,80.326442,2022-03-12,1900-01-01 20:25:00,1900-01-01 20:40:00,Sandstorms,jam,motorcycle ,Metropolitian ,185,Pet Supplies,4.1
jvco758418006,39,12.933298,77.614293,13.023298,77.704293,2022-03-29,1900-01-01 20:50:00,1900-01-01 21:00:00,Fog,jam,scooter ,Metropolitian ,220,Electronics,4.6
zkks967394571,34,22.311358,73.164798,22.351358,73.204798,2022-03-19,1900-01-01 12:35:00,1900-01-01 12:45:00,Windy,high,van,Metropolitian ,140,Snacks,4.7
oiyh656906407,27,12.934365,77.616155,13.044365,77.726155,2022-03-10,1900-01-01 21:00:00,1900-01-01 21:15:00,Cloudy,jam,scooter ,Metropolitian ,210,Apparel,4.7
dfit633531471,30,0.0,0.0,0.11,0.11,2022-02-16,1900-01-01 23:40:00,1900-01-01 23:55:00,Windy,low,motorcycle ,Metropolitian ,125,Sports,4.8
qhxw976953297,25,13.086438,80.220672,13.196438,80.330672,2022-03-27,1900-01-01 18:15:00,1900-01-01 18:20:00,Cloudy,medium,scooter ,Metropolitian ,195,Jewelry,4.4
mryb985330207,25,19.254567,72.848923,19.364567,72.958923,2022-03-27,1900-01-01 18:20:00,1900-01-01 18:25:00,Stormy,medium,motorcycle ,Urban ,100,Electronics,4.7
jzam829230168,30,26.913483,75.803139,26.933483,75.823139,2022-03-24,1900-01-01 11:45:00,1900-01-01 11:50:00,Stormy,high,motorcycle ,Metropolitian ,155,Kitchen,5.0
xnod694467359,24,17.411028,78.329645,17.471028,78.389645,2022-03-09,1900-01-01 20:45:00,1900-01-01 20:55:00,Stormy,jam,motorcycle ,Metropolitian ,65,Home,4.6
hcno407153953,39,18.516216,73.842527,18.566216,73.892527,2022-03-03,1900-01-01 21:55:00,1900-01-01 22:10:00,Stormy,jam,motorcycle ,Metropolitian ,140,Home,4.8
gyjc869072111,25,15.5696,73.742294,15.6096,73.782294,2022-02-15,1900-01-01 12:45:00,1900-01-01 12:50:00,Windy,high,scooter ,Urban ,95,Snacks,4.8
wkqq813752515,37,19.876428,75.364792,19.956428,75.444792,2022-02-18,1900-01-01 23:30:00,1900-01-01 23:45:00,Fog,low,motorcycle ,Urban ,210,Kitchen,4.6
vdfj488526028,24,12.939496,77.625999,12.949496,77.635999,2022-03-01,1900-01-01 10:50:00,1900-01-01 10:55:00,Fog,low,motorcycle ,Metropolitian ,115,Electronics,5.0
pngq326709686,25,17.433809,78.386744,17.543809,78.496744,2022-03-23,1900-01-01 21:25:00,1900-01-01 21:40:00,Stormy,jam,motorcycle ,Metropolitian ,195,Cosmetics,4.2
caja224507886,32,23.374878,85.335739,23.384878,85.345739,2022-04-01,1900-01-01 10:10:00,1900-01-01 10:20:00,Stormy,low,motorcycle ,Metropolitian ,125,Outdoors,4.6
hnme204254454,34,-27.163303,78.057044,27.233303,78.127044,2022-02-16,1900-01-01 23:00:00,1900-01-01 23:05:00,Sandstorms,low,scooter ,Metropolitian ,75,Clothing,4.7
uehx759760979,38,22.74806,75.8934,22.76806,75.9134,2022-03-11,1900-01-01 08:40:00,1900-01-01 08:55:00,Cloudy,low,scooter ,Urban ,75,Books,4.9
sdod930462581,36,26.891191,75.802083,26.981191,75.892083,2022-03-14,1900-01-01 17:50:00,1900-01-01 17:55:00,Sunny,medium,van,Metropolitian ,75,Home,4.8
visy471360404,25,21.160437,72.774209,21.270437,72.884209,2022-03-18,1900-01-01 20:25:00,1900-01-01 20:40:00,Stormy,jam,motorcycle ,Metropolitian ,75,Electronics,5.0
wddq796276216,29,12.316967,76.603067,12.366967,76.653067,2022-04-01,1900-01-01 22:20:00,1900-01-01 22:25:00,Sunny,low,motorcycle ,Metropolitian ,90,Outdoors,5.0
pqya338067587,36,18.927584,72.832585,19.017584,72.922585,2022-04-04,1900-01-01 23:40:00,1900-01-01 23:50:00,Sandstorms,low,van,Metropolitian ,145,Clothing,4.7
last796029882,33,11.022298,76.998349,11.072298,77.048349,2022-03-11,1900-01-01 23:25:00,1900-01-01 23:30:00,Fog,low,motorcycle ,Metropolitian ,100,Snacks,4.7
mzyt873581742,36,12.325461,76.632278,12.365461,76.672278,2022-03-13,1900-01-01 12:40:00,1900-01-01 12:55:00,Cloudy,high,scooter ,Metropolitian ,195,Skincare,4.4
kbhb286226770,21,18.530963,73.828972,18.640963,73.938972,2022-03-04,1900-01-01 23:30:00,1900-01-01 23:45:00,Windy,low,motorcycle ,Metropolitian ,95,Sports,4.8
okvp821614347,25,17.458998,78.500366,17.488998,78.530366,2022-03-26,1900-01-01 23:55:00,1900-01-01 00:10:00,Cloudy,low,scooter ,Urban ,19,Grocery,4.8
oska955853002,23,19.1813,72.836191,19.3113,72.966191,2022-03-16,1900-01-01 22:50:00,1900-01-01 23:00:00,Windy,low,motorcycle ,Metropolitian ,85,Electronics,4.8
rgwl479077727,25,11.022477,76.995667,11.032477,77.005667,2022-03-01,1900-01-01 10:25:00,1900-01-01 10:40:00,Stormy,low,motorcycle ,Urban ,75,Books,4.6
tmzv371880726,24,22.727021,75.884167,22.747021,75.904167,2022-03-15,1900-01-01 08:45:00,1900-01-01 09:00:00,Sandstorms,low,motorcycle ,Urban ,95,Apparel,4.3
ofxt601212694,27,12.979166,77.640709,13.069166,77.730709,2022-03-04,1900-01-01 21:25:00,1900-01-01 21:40:00,Sandstorms,jam,motorcycle ,Metropolitian ,145,Apparel,4.6
lbui872023073,23,18.994237,72.825553,19.104237,72.935553,2022-03-18,1900-01-01 22:35:00,1900-01-01 22:40:00,Cloudy,low,scooter ,Urban ,110,Jewelry,4.8
ixfk439251990,21,12.284747,76.625861,12.414747,76.755861,2022-03-23,1900-01-01 20:10:00,1900-01-01 20:20:00,Fog,jam,scooter ,Metropolitian ,210,Books,4.3
njfz936670348,27,21.175975,72.795503,21.195975,72.815503,2022-03-15,1900-01-01 10:55:00,1900-01-01 11:10:00,Sandstorms,low,scooter ,Urban ,60,Sports,4.7
drir663128253,32,11.000762,76.981876,11.130762,77.111876,2022-03-08,1900-01-01 20:35:00,1900-01-01 20:45:00,Cloudy,jam,motorcycle ,Metropolitian ,190,Skincare,4.2
drdr957134932,25,21.173343,72.792731,21.283343,72.902731,2022-03-10,1900-01-01 23:20:00,1900-01-01 23:35:00,Sunny,low,motorcycle ,Metropolitian ,115,Outdoors,4.6
qrzj427928057,39,26.479108,80.315042,26.499108,80.335042,2022-02-11,1900-01-01 10:35:00,1900-01-01 10:50:00,Cloudy,low,scooter ,Metropolitian ,75,Books,4.7
hkit681446136,27,21.175104,72.804342,21.255104,72.884342,2022-03-14,1900-01-01 23:45:00,1900-01-01 23:50:00,Sunny,low,motorcycle ,Metropolitian ,120,Shoes,4.6
imnm972342448,39,19.176269,72.836721,19.286269,72.946721,2022-03-16,1900-01-01 19:55:00,1900-01-01 20:00:00,Windy,jam,motorcycle ,Metropolitian ,185,Books,3.8
wnne890905509,31,12.975377,77.696664,13.025377,77.746664,2022-03-01,1900-01-01 22:15:00,1900-01-01 22:25:00,Sandstorms,low,scooter ,Metropolitian ,120,Sports,4.8
kbdc711046313,31,23.359194,85.325447,23.419194,85.385447,2022-03-01,1900-01-01 23:10:00,1900-01-01 23:15:00,Sunny,low,van,Metropolitian ,65,Kitchen,4.8
alem833315854,20,12.297954,76.665169,12.307954,76.675169,2022-03-30,1900-01-01 09:15:00,1900-01-01 09:30:00,Cloudy,low,motorcycle ,Other,80,Sports,4.8
khjm619520065,36,23.359407,85.325055,23.439407,85.405055,2022-03-02,1900-01-01 18:25:00,1900-01-01 18:35:00,Cloudy,medium,motorcycle ,Urban ,210,Cosmetics,4.9
oiay843077855,20,23.416792,85.316842,23.506792,85.406842,2022-03-20,1900-01-01 22:10:00,1900-01-01 22:20:00,Sandstorms,low,motorcycle ,Metropolitian ,85,Toys,4.9
ohhc448549441,24,26.892312,75.806896,26.922313,75.836896,2022-04-03,1900-01-01 20:50:00,1900-01-01 21:05:00,Cloudy,jam,motorcycle ,Metropolitian ,125,Jewelry,4.6
knul324217390,39,22.761593,75.886362,22.871593,75.996362,2022-03-29,1900-01-01 18:45:00,1900-01-01 18:50:00,Fog,medium,scooter ,Metropolitian ,195,Clothing,4.2
buux572471968,37,11.026117,76.944652,11.066117,76.984652,2022-03-17,1900-01-01 14:55:00,1900-01-01 15:05:00,Sunny,high,scooter ,Metropolitian ,90,Shoes,4.8
ieue797662723,32,13.064181,80.236442,13.104181,80.276442,2022-03-17,1900-01-01 16:50:00,1900-01-01 17:00:00,Sandstorms,medium,motorcycle ,Metropolitian ,140,Books,4.9
eztk468187811,22,26.483042,80.317833,26.533042,80.367833,2022-02-15,1900-01-01 22:20:00,1900-01-01 22:35:00,Sandstorms,low,scooter ,Metropolitian ,90,Skincare,4.5
zzid436960558,23,11.000762,76.981876,11.130762,77.111876,2022-03-18,1900-01-01 00:00:00,1900-01-01 00:15:00,Windy,low,scooter ,Metropolitian ,90,Clothing,4.9
kllk327072475,33,23.359033,85.325347,23.469033,85.435347,2022-03-08,1900-01-01 21:10:00,1900-01-01 21:20:00,Fog,jam,scooter ,Metropolitian ,245,Apparel,4.7
uurs547552548,23,22.569358,88.433452,22.599358,88.463452,2022-02-17,1900-01-01 23:25:00,1900-01-01 23:35:00,Sunny,low,motorcycle ,Metropolitian ,75,Snacks,4.633780473846858
ubwl989345056,27,12.914264,77.6784,12.994264,77.7584,2022-03-31,1900-01-01 23:30:00,1900-01-01 23:35:00,Sunny,low,motorcycle ,Metropolitian ,105,Pet Supplies,4.6
iimu721647260,34,19.121999,72.908493,19.161999,72.948493,2022-03-01,1900-01-01 14:20:00,1900-01-01 14:35:00,Sunny,high,scooter ,Metropolitian ,115,Toys,4.7
tfxz025621580,26,21.157729,72.768726,21.167729,72.778726,2022-04-03,1900-01-01 10:15:00,1900-01-01 10:25:00,Fog,low,scooter ,Urban ,55,Sports,5.0
kgjb145446786,31,22.311603,73.165012,22.371603,73.225012,2022-03-24,1900-01-01 21:20:00,1900-01-01 21:35:00,Cloudy,jam,motorcycle ,Metropolitian ,125,Snacks,4.6
xrxy085440961,32,18.536562,73.896485,18.556562,73.916485,2022-03-07,1900-01-01 08:50:00,1900-01-01 08:55:00,Fog,low,motorcycle ,Metropolitian ,90,Books,4.9
pnzt689957903,27,22.745536,75.893106,22.765536,75.913106,2022-03-09,1900-01-01 09:00:00,1900-01-01 09:05:00,Cloudy,low,motorcycle ,Metropolitian ,70,Shoes,4.7
qrng205617369,21,12.933298,77.614293,13.023298,77.704293,2022-03-12,1900-01-01 17:45:00,1900-01-01 18:00:00,Windy,medium,motorcycle ,Metropolitian ,180,Pet Supplies,4.9
gycd207308146,28,12.939496,77.625999,12.989496,77.675999,2022-03-24,1900-01-01 23:10:00,1900-01-01 23:15:00,Fog,low,motorcycle ,Metropolitian ,90,Kitchen,4.8
wqfy256790455,24,0.0,0.0,0.04,0.04,2022-03-30,1900-01-01 16:35:00,1900-01-01 16:50:00,Fog,medium,scooter ,Urban ,85,Toys,4.9
vgjr167867003,33,17.426228,78.407495,17.436228,78.417495,2022-03-05,1900-01-01 08:30:00,1900-01-01 08:40:00,Sandstorms,low,motorcycle ,Metropolitian ,140,Electronics,4.4
jqco336937571,20,12.934365,77.616155,13.024365,77.706155,2022-03-18,1900-01-01 20:35:00,1900-01-01 20:50:00,Fog,jam,motorcycle ,Metropolitian ,220,Home,4.6
iwkp065421476,31,11.003669,76.976494,11.063669,77.036494,2022-03-13,1900-01-01 23:25:00,1900-01-01 23:40:00,Windy,low,motorcycle ,Metropolitian ,100,Toys,4.3
nwvu459529234,36,22.311358,73.164798,22.381358,73.234798,2022-03-31,1900-01-01 19:55:00,1900-01-01 20:05:00,Fog,jam,motorcycle ,Metropolitian ,175,Shoes,5.0
jjcl090851660,31,12.986047,80.218114,13.096047,80.328114,2022-03-23,1900-01-01 21:20:00,1900-01-01 21:30:00,Sandstorms,jam,motorcycle ,Metropolitian ,50,Grocery,4.2
bpbi053158546,39,17.41233,78.449654,17.47233,78.509654,2022-03-24,1900-01-01 21:45:00,1900-01-01 21:50:00,Stormy,jam,scooter ,Metropolitian ,170,Electronics,4.1
ksec432319879,29,21.17106,72.789292,21.25106,72.869292,2022-03-12,1900-01-01 19:40:00,1900-01-01 19:55:00,Sunny,jam,van,Metropolitian ,85,Outdoors,4.6
rszv454658332,29,21.186884,72.793616,21.226884,72.833616,2022-03-03,1900-01-01 14:50:00,1900-01-01 15:00:00,Sandstorms,high,scooter ,Urban ,115,Apparel,4.6
cdyc438548517,37,11.026117,76.944652,11.056117,76.974652,2022-03-09,1900-01-01 18:10:00,1900-01-01 18:20:00,Fog,medium,motorcycle ,Metropolitian ,135,Books,4.9
xoka811702118,33,0.0,0.0,0.04,0.04,2022-03-17,1900-01-01 12:20:00,1900-01-01 12:30:00,Cloudy,high,motorcycle ,Urban ,130,Skincare,4.7
nyum131271823,31,19.065838,72.832658,19.135838,72.902658,2022-03-18,1900-01-01 23:40:00,1900-01-01 23:50:00,Cloudy,low,scooter ,Metropolitian ,175,Pet Supplies,3.9
iwoy649851528,37,0.0,0.0,0.04,0.04,2022-03-19,1900-01-01 12:50:00,1900-01-01 12:55:00,Windy,high,motorcycle ,Urban ,205,Outdoors,4.6
